english,current_arabic,corrected_arabic
Subject,المادة,
Create teacher account,إنشاء حساب مدرس,
Student name,اسم الطالب,
Student phone (optional),رقم هاتف الطالب (اختياري),
Parent name,اسم ولي الأمر,
Parent phone,رقم هاتف ولي الأمر,
School (optional),المدرسة (اختياري),
Grade (optional),الصف الدراسي (اختياري),
Create student and parent accounts,إنشاء حساب الطالب وولي الأمر,
Teacher account created.,تم إنشاء حساب المدرس.,
Student created.,تم إنشاء حساب الطالب.,
%(count)d session(s) created.,تم إنشاء %(count)d حصة.,
All sessions for this course already exist.,كل حصص هذا الكورس موجودة بالفعل.,
Choose a valid attendance status.,اختر حالة حضور صحيحة.,
%(student)s marked %(status)s.,تم تسجيل %(student)s كـ %(status)s.,
Teacher attendance recorded.,تم تسجيل حضور المدرس.,
Session cancelled.,تم إلغاء الحصة.,
Enter a new date and time.,أدخل التاريخ والوقت الجديد.,
Session moved.,تم نقل الحصة.,
Homework saved.,تم حفظ الواجب.,
Homework removed.,تم حذف الواجب.,
Choose a student.,اختر طالباً.,
Feedback saved.,تم حفظ التقييم.,
Feedback removed.,تم حذف التقييم.,
Material added.,تمت إضافة المادة.,
Material removed.,تم حذف المادة.,
Update sent to %(name)s.,تم إرسال التحديث إلى %(name)s.,
Sending failed: %(detail)s,فشل الإرسال: %(detail)s,
"Recorded for %(name)s, but not delivered — WhatsApp sending is switched off until the provider is approved.",تم تسجيل الرسالة لـ %(name)s ولكن لم يتم إرسالها — إرسال واتساب متوقف حتى اعتماد مزود الخدمة.,
"Batch finished: %(sent)d sent, %(queued)d recorded, %(failed)d failed, %(skipped)d skipped.",انتهت الدفعة: %(sent)d مرسلة، %(queued)d مسجلة، %(failed)d فشلت، %(skipped)d تم تخطيها.,
Password,كلمة المرور,
Sign in,تسجيل الدخول,
Current password,كلمة المرور الحالية,
New password,كلمة المرور الجديدة,
Use at least 8 characters.,استخدم ٨ أحرف على الأقل.,
Confirm new password,تأكيد كلمة المرور الجديدة,
Passwords do not match.,كلمتا المرور غير متطابقتين.,
Save password,حفظ كلمة المرور,
I agree to the terms and conditions,أوافق على الشروط والأحكام,
You must agree before continuing.,يجب الموافقة قبل المتابعة.,
Continue to dashboard,متابعة إلى لوحة التحكم,
Incorrect phone number or password.,رقم الهاتف أو كلمة المرور غير صحيحة.,
You have been signed out.,تم تسجيل الخروج.,
Your current password is not correct.,كلمة المرور الحالية غير صحيحة.,
Choose a password different from your current one.,اختر كلمة مرور مختلفة عن كلمة المرور الحالية.,
Your password has been updated.,تم تحديث كلمة المرور.,
Thank you — your acceptance has been recorded.,شكراً لك — تم تسجيل موافقتك.,
This session was moved; mark the replacement instead.,تم نقل هذه الحصة؛ سجّل الحضور في الحصة البديلة.,
"This session was cancelled, so there is nothing to mark.",تم إلغاء هذه الحصة، لا يوجد ما يُسجَّل.,
%(student)s is not enrolled in this course.,%(student)s غير مسجّل في هذا الكورس.,
That is not a valid time of day.,هذا ليس وقتاً صحيحاً.,
Choose a teacher for this course.,اختر مدرساً لهذا الكورس.,
Choose a course type.,اختر نوع الكورس.,
%(type)s needs exactly %(expected)d session(s) per week; %(given)d were given.,%(type)s يحتاج %(expected)d حصة أسبوعياً بالضبط؛ تم إدخال %(given)d.,
Only students can be enrolled in a course.,الطلاب فقط يمكن تسجيلهم في الكورس.,
%(student)s is already enrolled in this course.,%(student)s مسجّل بالفعل في هذا الكورس.,
Trial bookings are not enabled for this course.,الحجز التجريبي غير مفعّل لهذا الكورس.,
Enter a valid amount.,أدخل مبلغاً صحيحاً.,
The amount cannot be negative.,لا يمكن أن يكون المبلغ بالسالب.,
This teacher,هذا المدرس,
"%(teacher)s already teaches «%(course)s» on %(day)s %(existing_start)s–%(existing_end)s, which overlaps %(new_start)s–%(new_end)s.",%(teacher)s يدرّس بالفعل «%(course)s» يوم %(day)s من %(existing_start)s إلى %(existing_end)s، وهو ما يتعارض مع %(new_start)s–%(new_end)s.,
This course has two sessions that overlap on %(day)s: %(a_start)s–%(a_end)s and %(b_start)s–%(b_end)s.,هذا الكورس به حصتان متعارضتان يوم %(day)s: %(a_start)s–%(a_end)s و %(b_start)s–%(b_end)s.,
Set a start date on the course before generating sessions.,حدد تاريخ بداية الكورس قبل إنشاء الحصص.,
This course has no weekly schedule yet.,هذا الكورس ليس له جدول أسبوعي بعد.,
Could not lay out this course's schedule.,تعذّر ترتيب جدول هذا الكورس.,
This session is already cancelled.,هذه الحصة ملغاة بالفعل.,
A cancelled session cannot be rescheduled.,لا يمكن نقل حصة ملغاة.,
This session has already been moved.,تم نقل هذه الحصة من قبل.,
Enter a link.,أدخل الرابط.,
That link is too long.,هذا الرابط طويل جداً.,
Links must start with http:// or https://,يجب أن يبدأ الرابط بـ http:// أو https://,
That does not look like a valid link.,هذا لا يبدو رابطاً صحيحاً.,
Write something before saving.,اكتب شيئاً قبل الحفظ.,
Feedback can only be written about a student.,التقييم يُكتب عن الطالب فقط.,
"Daily update for %(name)s — %(date)s
Not enrolled in any course.","التحديث اليومي لـ %(name)s — %(date)s
غير مسجل في أي كورس.",
Daily update for %(name)s — %(date)s,التحديث اليومي لـ %(name)s — %(date)s,
Attendance:,الحضور:,
• %(course)s — %(status)s at %(time)s,• %(course)s — %(status)s الساعة %(time)s,
• %(course)s — %(status)s,• %(course)s — %(status)s,
• No session recorded today.,• لا توجد حصة مسجلة اليوم.,
Homework:,الواجبات:,
• None assigned today.,• لا توجد واجبات اليوم.,
Feedback:,التقييم:,
• None logged today.,• لا يوجد تقييم اليوم.,
Daily updates are about students.,التحديثات اليومية تخص الطلاب.,
%(name)s already has today's update.,%(name)s لديه تحديث اليوم بالفعل.,
%(name)s has no contact number on file.,لا يوجد رقم تواصل مسجل لـ %(name)s.,
Assistants,المساعدون,
Only the admin can create assistant accounts,المدير وحده يمكنه إنشاء حسابات المساعدين,
Current assistants,المساعدون الحاليون,
No assistants yet.,لا يوجد مساعدون بعد.,
inactive,موقوف,
Issue new password,إصدار كلمة مرور جديدة,
Done,تم,
Overview,نظرة عامة,
Full visibility across the whole centre,رؤية كاملة لكل بيانات الأكاديمية,
Teachers,المدرسون,
Students,الطلاب,
Parents,أولياء الأمور,
Courses,الكورسات,
Sessions today,حصص اليوم,
Still to mark,بانتظار التسجيل,
Unpaid enrolments,تسجيلات غير مدفوعة,
Total outstanding,إجمالي المستحق,
EGP,جنيه,
Sessions still waiting for attendance,حصص بانتظار تسجيل الحضور,
marked,مسجّل,
Message sending failed,فشل إرسال الرسائل,
Outstanding payments,المدفوعات المستحقة,
View,عرض,
Nothing outstanding. Everyone is paid up.,لا توجد مستحقات. الجميع سدد.,
Attendance log,سجل الحضور,
"Filter by course, teacher or date range",تصفية حسب الكورس أو المدرس أو الفترة,
Course,الكورس,
All courses,كل الكورسات,
All teachers,كل المدرسين,
From,من,
To,إلى,
Apply,تطبيق,
No sessions match these filters.,لا توجد حصص مطابقة لهذه التصفية.,
Edit course,تعديل الكورس,
Sessions,الحصص,
Homework,الواجبات,
Feedback,التقييم,
Materials,المواد التعليمية,
Archive,أرشفة,
Details,التفاصيل,
Type,النوع,
Schedule,المواعيد,
per month,شهرياً,
per round,في الراوند,
Price,السعر,
Enrolled students,الطلاب المسجلون,
Nobody enrolled yet.,لا يوجد طلاب مسجلون بعد.,
Remove,إزالة,
Add a student,إضافة طالب,
Enroll,تسجيل,
All outstanding payments,كل المدفوعات المستحقة,
Back to course,العودة إلى الكورس,
Write feedback,كتابة تقييم,
Date,التاريخ,
How did the student do today?,كيف كان أداء الطالب اليوم؟,
Save feedback,حفظ التقييم,
Only this student and their parents can read this. Classmates cannot.,هذا التقييم يظهر للطالب وولي أمره فقط، ولا يراه زملاؤه.,
Feedback so far,التقييمات السابقة,
Create a course,إنشاء كورس,
Appears on enrolled students and parents dashboards straight away,يظهر فوراً في لوحات الطلاب المسجلين وأولياء أمورهم,
Students see the course type below. This name tells your staff which round or group it is.,الطلاب يرون نوع الكورس بالأسفل. هذا الاسم يوضح لفريق العمل أي راوند أو مجموعة.,
Weekly schedule,الجدول الأسبوعي,
All sessions for the round are generated from this date.,يتم إنشاء كل حصص الراوند بدءاً من هذا التاريخ.,
Cancel,إلغاء,
Assign homework,إسناد واجب,
"e.g. Solve worksheet 3, questions 1-10.",مثال: حل ورقة العمل ٣، الأسئلة من ١ إلى ١٠.,
Assign,إسناد,
Every student enrolled in this course sees this.,كل طالب مسجل في هذا الكورس سيرى هذا.,
Assigned so far,الواجبات السابقة,
Add a link,إضافة رابط,
Title,العنوان,
Link,الرابط,
Add material,إضافة مادة,
Enrolled students and their parents can open this.,الطلاب المسجلون وأولياء أمورهم يمكنهم فتح هذا.,
Course materials,مواد الكورس,
%(held)d of %(total)d held,تم عقد %(held)d من %(total)d,
No sessions yet. Generate them from the course start date.,لا توجد حصص بعد. أنشئها بدءاً من تاريخ بداية الكورس.,
Generate sessions,إنشاء الحصص,
Generate any missing sessions,إنشاء الحصص الناقصة,
"The six course types are fixed; each course attaches a teacher, schedule and price",أنواع الكورسات الستة ثابتة؛ كل كورس يرتبط بمدرس وجدول وسعر,
No courses yet.,لا توجد كورسات بعد.,
Today,اليوم,
Updates not sent,تحديثات لم تُرسل,
Outstanding,المستحق,
Today's sessions,حصص اليوم,
No sessions today.,لا توجد حصص اليوم.,
Students without an update today,طلاب بدون تحديث اليوم,
Everyone has been sent an update.,تم إرسال تحديث للجميع.,
Go to WhatsApp centre,الذهاب إلى مركز واتساب,
Payments,المدفوعات,
Everything still outstanding,كل ما لم يتم سداده بعد,
Attendance,الحضور,
All sessions,كل الحصص,
This session was moved to another date. Mark the replacement instead.,تم نقل هذه الحصة إلى تاريخ آخر. سجّل الحضور في الحصة البديلة.,
Change this session,تعديل هذه الحصة,
Reason (optional),السبب (اختياري),
Cancelled by teacher,إلغاء من المدرس,
Cancelled by centre,إلغاء من الأكاديمية,
"Who cancelled matters: a teacher-cancelled session must be made up, a student absence is not refunded.",الجهة التي ألغت الحصة مهمة: الحصة الملغاة من المدرس يجب تعويضها، أما غياب الطالب فلا تُرد قيمته.,
Move session,نقل الحصة,
Mark attendance as each class runs,سجّل الحضور مع بداية كل حصة,
Show,عرض,
No sessions on this date.,لا توجد حصص في هذا التاريخ.,
Creating a student creates or links the parent account in the same step,إنشاء الطالب ينشئ حساب ولي الأمر أو يربطه في نفس الخطوة,
"If the family has only one phone number, enter it as the parent number. The parent account covers the child, and the student gets no separate login.",إذا كان للأسرة رقم هاتف واحد فقط، أدخله كرقم ولي الأمر. حساب ولي الأمر يغطي الطالب، ولن يكون للطالب حساب دخول منفصل.,
Current students,الطلاب الحاليون,
No students yet.,لا يوجد طلاب بعد.,
no login,بدون حساب دخول,
parent,ولي الأمر,
Usernames and passwords are generated automatically,أسماء المستخدمين وكلمات المرور تُنشأ تلقائياً,
Current teachers,المدرسون الحاليون,
No teachers yet.,لا يوجد مدرسون بعد.,
WhatsApp,واتساب,
WhatsApp message centre,مركز رسائل واتساب,
Sending number: %(number)s,رقم الإرسال: %(number)s,
Sending is switched off,الإرسال متوقف,
"Messages are composed and recorded, but nothing is delivered until the WhatsApp Business number is verified and a template is approved by Meta. Every message below is logged as “queued”, not “sent”.",يتم تجهيز الرسائل وتسجيلها، ولكن لا يتم إرسال أي شيء حتى يتم توثيق رقم واتساب بيزنس واعتماد القالب من Meta. كل رسالة بالأسفل مسجلة كـ«في الانتظار» وليست «مرسلة».,
%(count)d message(s) failed to send,فشل إرسال %(count)d رسالة,
Send the daily update to everyone,إرسال التحديث اليومي للجميع,
"Skips anyone who already has an update for this date, so running it twice is safe.",يتم تخطي من لديه تحديث بهذا التاريخ، لذا تشغيله مرتين آمن.,
already sent,تم الإرسال,
already prepared,تم التجهيز,
No contact number on file.,لا يوجد رقم تواصل مسجل.,
Send again,إرسال مرة أخرى,
Send update,إرسال التحديث,
Sent log,سجل الإرسال,
No messages yet.,لا توجد رسائل بعد.,
Change your password,تغيير كلمة المرور,
Your account was created with a temporary password. Choose your own before continuing.,تم إنشاء حسابك بكلمة مرور مؤقتة. اختر كلمة مرور خاصة بك قبل المتابعة.,
Choose a new password for your account.,اختر كلمة مرور جديدة لحسابك.,
Log out,تسجيل الخروج,
Sign in with your phone number and password,سجّل الدخول برقم هاتفك وكلمة المرور,
Terms and conditions,الشروط والأحكام,
Terms and conditions for teachers,الشروط والأحكام التنظيمية للمدرسين,
General terms and conditions,الشروط والأحكام العامة,
This area is not available for your account.,هذه الصفحة غير متاحة لحسابك.,
Back to my dashboard,العودة إلى لوحة التحكم,
That page does not exist.,هذه الصفحة غير موجودة.,
Something went wrong. The centre has been notified.,حدث خطأ ما. تم إبلاغ الإدارة.,
Scheduling conflict,تعارض في المواعيد,
Trial available,حصة تجريبية متاحة,
%(per_week)d sessions per week · %(total)d per month,%(per_week)d حصة أسبوعياً · %(total)d حصة شهرياً,
%(per_week)d sessions per week · %(total)d per round,%(per_week)d حصة أسبوعياً · %(total)d حصة في الراوند,
enrolled,مسجل,
Shown once only. Write these down or share them now — they cannot be displayed again.,تظهر مرة واحدة فقط. سجّلها أو شاركها الآن — لن يمكن عرضها مرة أخرى.,
No login,بدون حساب دخول,
Next session,الحصة القادمة,
Nothing scheduled.,لا يوجد شيء مجدول.,
Save amount,حفظ المبلغ,
My dashboard,لوحة التحكم,
Attendance history,سجل الحضور,
Messages,الرسائل,
Each session lasts 90 minutes.,مدة كل حصة ٩٠ دقيقة.,
No homework yet.,لا توجد واجبات بعد.,
No feedback yet.,لا توجد تقييمات بعد.,
No materials yet.,لا توجد مواد بعد.,
No attendance recorded yet.,لم يتم تسجيل حضور بعد.,
Course details,تفاصيل الكورس,
Payment,الدفع,
Booking,الحجز,
Amount due,المبلغ المستحق,
Child,الابن / الابنة,
No student is linked to this account yet. Please contact the centre.,لا يوجد طالب مرتبط بهذا الحساب بعد. برجاء التواصل مع الإدارة.,
My courses,كورساتي,
Not enrolled in any course yet.,غير مسجل في أي كورس بعد.,
Recent attendance,آخر سجلات الحضور,
Full history,السجل الكامل,
Messages from the centre,رسائل من الأكاديمية,
Students in this course,طلاب هذا الكورس,
Manage materials,إدارة المواد,
No sessions scheduled yet.,لا توجد حصص مجدولة بعد.,
My students,طلابي,
My weekly calendar,جدولي الأسبوعي,
"To change a time, contact the assistant — schedule changes go through them.",لتغيير أي موعد، تواصل مع الـ Assistant — تعديل المواعيد يتم من خلاله.,
No courses assigned to you yet.,لم يتم إسناد أي كورس لك بعد.,
No students yet — students appear here once they are enrolled in your courses.,لا يوجد طلاب بعد — سيظهر الطلاب هنا بعد تسجيلهم في كورساتك.,
Cancellations and schedule changes go through the assistant.,الإلغاء وتعديل المواعيد يتم من خلال الـ Assistant.,
